L1,L2,L3,L4,L5,L6,Name,Display Code,UOM,Account Description,L2 Description,Core,Core Extentension,WBS,P6 Cost Account,G/L,Cost Type PC,Cost Type Spectrum,Cost Category,Discipline,Sub Reporting?,Cost Code,Description,0L1-L2-L3L4-L5-L6
000,00,00,00,00,0,Project,000-00-0000-00-0,LS,Project,Summary,,,,,,,,,,,000000000000,Rollup for the entire project,
001,00,00,00,00,0,Project Development,001-00-0000-00-0,LS,Project,Summary,,,,,,,,,,,001000000000,"Top-level summary for all project development activities including feasibility studies, permitting, land acquisition, and pre-FEED scope definition prior to full project sanction.",
010,00,00,00,00,0,Administration & Home Office Management,010-00-0000-00-0,LS,Administration & Home Office Management,Summary,,,,,,,,,,,010000000000,"Top-level cost category encompassing all administration, home office management, project controls, safety, quality, procurement, and general overhead functions supporting the project.",
012,00,00,00,00,0,Home Office Construction Support,012-00-0000-00-0,LS,Home Office Construction Support,Summary,05200000000L,,,,,,,,,,012000000000,"Summary category for all home office personnel and services providing construction project support from the corporate office, including management, administration, and technical functions.",
012,05,00,00,00,L,Overhead,012-05-0000-00-L,HR,Home Office Construction Support,Overhead,05200000000L,,,,,,,,,,01205000000L,"Corporate overhead labor costs allocated to the project including executive management, accounting, legal, IT, and marketing functions that indirectly support project delivery.",
012,05,10,00,00,L,Executive,012-05-1000-00-L,HR,Home Office Construction Support,Overhead,05200000000L,,,,,,,,,,01205100000L,"Executive-level labor allocated to the project including senior leadership involvement in project oversight, strategic decisions, client relations, and corporate governance.",
012,05,20,00,00,L,Accounting,012-05-2000-00-L,HR,Home Office Construction Support,Overhead,05200000000L,,,,,,,,,,01205200000L,"Accounting labor allocated to the project including financial reporting, accounts payable/receivable, payroll processing, cost tracking, and audit support for project finances.",
012,05,30,00,00,L,Legal,012-05-3000-00-L,HR,Home Office Construction Support,Overhead,05200000000L,,,,,,,,,,01205300000L,"Legal labor allocated to the project including contract review, claims management, dispute resolution, regulatory compliance, and legal advisory services.",
012,05,40,00,00,L,Information & Technology,012-05-4000-00-L,HR,Home Office Construction Support,Overhead,05200000000L,,,,,,,,,,01205400000L,"Information technology labor allocated to the project including IT infrastructure support, software deployment, network administration, and technical troubleshooting for project systems.",
012,05,50,00,00,L,Marketing,012-05-5000-00-L,HR,Home Office Construction Support,Overhead,05200000000L,,,,,,,,,,01205500000L,"Marketing labor allocated to the project including proposal development, client presentations, project photography/documentation, and business development activities related to the project.",
012,10,00,00,00,L,Management,012-10-0000-00-L,HR,Home Office Construction Support,Management,052100000000,,,,,,,,,,01210000000L,"Summary category for project management labor including senior leadership responsible for overall project delivery, client interface, and strategic direction of the construction effort.",
